fold,method,balanced_accuracy,macro_f1,TN,FP,FN,TP,synthetic_subjects
1,Adaptive_Subspace_Fusion,0.8125,0.805668016194332,8,0,3,5,0
1,Fused_Grassmann_GSMOTE,0.8125,0.805668016194332,8,0,3,5,0
1,Euclidean_RBF_GSMOTE,0.8125,0.805668016194332,8,0,3,5,0
1,Balanced_LogReg,0.75,0.7333333333333334,8,0,4,4,0
1,Balanced_LinearSVM,0.8125,0.805668016194332,8,0,3,5,0
1,SMOTE_LogReg,0.75,0.7333333333333334,8,0,4,4,0
2,Adaptive_Subspace_Fusion,0.8125,0.8117647058823529,6,2,1,7,0
2,Fused_Grassmann_GSMOTE,0.8125,0.8117647058823529,6,2,1,7,0
2,Euclidean_RBF_GSMOTE,0.8125,0.8117647058823529,6,2,1,7,0
2,Balanced_LogReg,0.8125,0.8117647058823529,6,2,1,7,0
2,Balanced_LinearSVM,0.8125,0.8117647058823529,6,2,1,7,0
2,SMOTE_LogReg,0.8125,0.8117647058823529,6,2,1,7,0
3,Adaptive_Subspace_Fusion,1.0,1.0,8,0,0,8,0
3,Fused_Grassmann_GSMOTE,1.0,1.0,8,0,0,8,0
3,Euclidean_RBF_GSMOTE,1.0,1.0,8,0,0,8,0
3,Balanced_LogReg,0.75,0.746031746031746,5,3,1,7,0
3,Balanced_LinearSVM,0.75,0.746031746031746,5,3,1,7,0
3,SMOTE_LogReg,0.75,0.746031746031746,5,3,1,7,0
4,Adaptive_Subspace_Fusion,0.9375,0.9372549019607843,7,1,0,8,0
4,Fused_Grassmann_GSMOTE,0.9375,0.9372549019607843,7,1,0,8,0
4,Euclidean_RBF_GSMOTE,0.875,0.873015873015873,6,2,0,8,0
4,Balanced_LogReg,0.8125,0.8117647058823529,6,2,1,7,0
4,Balanced_LinearSVM,0.8125,0.8117647058823529,7,1,2,6,0
4,SMOTE_LogReg,0.8125,0.8117647058823529,6,2,1,7,0
5,Adaptive_Subspace_Fusion,0.8125,0.8117647058823529,7,1,2,6,0
5,Fused_Grassmann_GSMOTE,0.8125,0.8117647058823529,7,1,2,6,0
5,Euclidean_RBF_GSMOTE,0.8125,0.8117647058823529,7,1,2,6,0
5,Balanced_LogReg,0.875,0.875,7,1,1,7,0
5,Balanced_LinearSVM,0.8125,0.8117647058823529,6,2,1,7,0
5,SMOTE_LogReg,0.875,0.875,7,1,1,7,0
