fold,method,balanced_accuracy,macro_f1,TN,FP,FN,TP,synthetic_subjects
1,Balanced_LogReg,0.8125,0.8056680161943319,8,0,3,5,0
1,Balanced_LinearSVM,0.75,0.7333333333333334,8,0,4,4,0
1,SMOTE_LogReg,0.8125,0.8056680161943319,8,0,3,5,0
1,Fused_Grassmann_GSMOTE,0.875,0.873015873015873,8,0,2,6,0
2,Balanced_LogReg,0.8125,0.8117647058823529,6,2,1,7,0
2,Balanced_LinearSVM,0.6875,0.6761133603238867,4,4,1,7,0
2,SMOTE_LogReg,0.8125,0.8117647058823529,6,2,1,7,0
2,Fused_Grassmann_GSMOTE,0.8125,0.8117647058823529,6,2,1,7,0
3,Balanced_LogReg,0.75,0.7333333333333334,4,4,0,8,0
3,Balanced_LinearSVM,0.6875,0.6761133603238867,4,4,1,7,0
3,SMOTE_LogReg,0.75,0.7333333333333334,4,4,0,8,0
3,Fused_Grassmann_GSMOTE,1.0,1.0,8,0,0,8,0
4,Balanced_LogReg,0.625,0.625,5,3,3,5,0
4,Balanced_LinearSVM,0.6875,0.6862745098039216,6,2,3,5,0
4,SMOTE_LogReg,0.625,0.625,5,3,3,5,0
4,Fused_Grassmann_GSMOTE,0.8125,0.8056680161943319,5,3,0,8,0
5,Balanced_LogReg,0.875,0.875,7,1,1,7,0
5,Balanced_LinearSVM,0.75,0.746031746031746,7,1,3,5,0
5,SMOTE_LogReg,0.875,0.875,7,1,1,7,0
5,Fused_Grassmann_GSMOTE,0.75,0.746031746031746,7,1,3,5,0
